,protein,degree,inviable,icp55_shell,pim1_shell,betweenness,eigenvector,closeness,bridging,cluster_id,cluster_size,cluster_degree,cluster_eigenvector,cluster_closeness,betweenness/min-shell,closeness/min-shell,eigenvector/min-shell,bridging/min-shell,min-shell,cluster_betweenness
123,YKL144C,25,1,4,3,6.33E-06,0.000880988,0.242364793,4.65E-07,7,40,14,0.201441236,0.6,2.11E-06,0.080788264,0.000293663,1.55E-07,3,0
124,YDL150W,26,1,4,3,8.84E-05,0.001869013,0.249168711,5.56E-06,7,40,16,0.220067522,0.619047619,2.95E-05,0.083056237,0.000623004,1.85E-06,3,0.003065891
125,YML015C,16,1,4,3,1.25E-06,7.03E-06,0.223783413,1.22E-07,7,40,13,0.092621127,0.6,4.16E-07,0.074594471,2.34E-06,4.07E-08,3,0
126,YNL151C,30,1,4,3,0.000110856,0.003097,0.248356425,5.82E-06,7,40,15,0.209427172,0.609375,3.70E-05,0.082785475,0.001032333,1.94E-06,3,0.001879699
127,YBR198C,29,1,4,2,5.45E-05,2.09E-05,0.237454545,1.63E-06,7,40,13,0.092621127,0.6,2.72E-05,0.118727273,1.05E-05,8.14E-07,2,0
128,YMR236W,30,1,4,2,5.75E-05,2.18E-05,0.237652074,1.64E-06,7,40,13,0.092621127,0.6,2.87E-05,0.118826037,1.09E-05,8.19E-07,2,0
129,YML114C,14,1,4,3,0,5.34E-06,0.223204258,0,7,40,13,0.092621127,0.6,0,0.074401419,1.78E-06,0,3,0
130,YDR362C,11,1,5,3,1.22E-05,9.42E-05,0.2247738,1.74E-06,7,40,11,0.133674669,0.573529412,4.05E-06,0.0749246,3.14E-05,5.79E-07,3,0.002975923
131,YMR227C,18,1,4,3,2.66E-05,7.23E-06,0.224233505,1.46E-06,7,40,14,0.093340409,0.609375,8.85E-06,0.074744502,2.41E-06,4.87E-07,3,0.023616734
132,YKL125W,20,1,4,3,0.000152693,0.001052935,0.242506234,1.24E-05,7,40,4,0.063618999,0.52,5.09E-05,0.080835411,0.000350978,4.14E-06,3,0
133,YDR167W,32,1,4,2,0.000983948,2.25E-05,0.239194139,2.34E-05,7,40,14,0.101346592,0.609375,0.000491974,0.11959707,1.13E-05,1.17E-05,2,0.00877193
134,YGR274C,28,1,4,3,0.000828802,1.59E-05,0.244412362,2.09E-05,7,40,15,0.096143799,0.619047619,0.000276267,0.081470787,5.28E-06,6.95E-06,3,0.034412955
135,YKR025W,20,1,4,3,4.51E-06,0.000616999,0.240604274,4.90E-07,7,40,14,0.201441236,0.6,1.50E-06,0.080201425,0.000205666,1.63E-07,3,0
136,YDR045C,31,1,4,2,2.37E-05,0.001316812,0.248046451,1.19E-06,7,40,14,0.201441236,0.6,1.18E-05,0.124023226,0.000658406,5.97E-07,2,0
137,YAL001C,9,1,5,3,4.56E-08,1.13E-05,0.21673779,7.41E-09,7,40,9,0.099742823,0.557142857,1.52E-08,0.07224593,3.76E-06,2.47E-09,3,0.000642632
138,YGL112C,32,1,4,2,8.61E-05,2.63E-05,0.240452393,2.20E-06,7,40,13,0.092621127,0.6,4.31E-05,0.120226197,1.31E-05,1.10E-06,2,0
139,YMR005W,17,1,4,3,1.02E-05,1.17E-05,0.227911847,9.15E-07,7,40,13,0.092621127,0.6,3.41E-06,0.075970616,3.90E-06,3.05E-07,3,0
140,YLR071C,40,1,4,3,0.000384194,0.000122858,0.247388645,7.92E-06,8,25,24,0.221941178,1,0.000128065,0.082462882,4.10E-05,2.64E-06,3,0.013608727
141,YHR041C,25,0,4,3,9.86E-05,2.13E-05,0.233380986,5.08E-06,8,25,20,0.198247932,0.857142857,3.29E-05,0.077793662,7.11E-06,1.69E-06,3,0.000190694
142,YHR058C,38,1,4,3,0.00031518,0.000122671,0.24728158,7.59E-06,8,25,23,0.216883106,0.96,0.00010506,0.082427193,4.09E-05,2.53E-06,3,0.009082487
143,YPR168W,30,1,4,3,0.000175388,3.99E-05,0.242351943,5.96E-06,8,25,23,0.216883106,0.96,5.85E-05,0.080783981,1.33E-05,1.99E-06,3,0.009082487
144,YPR070W,20,0,5,3,5.04E-09,7.18E-06,0.203925942,3.57E-10,8,25,20,0.198247932,0.857142857,1.68E-09,0.067975314,2.39E-06,1.19E-10,3,0.000190694
145,YNR010W,23,0,4,3,2.83E-05,1.30E-05,0.221527576,1.59E-06,8,25,21,0.205438424,0.888888889,9.42E-06,0.073842525,4.32E-06,5.31E-07,3,0.002022196
146,YGL151W,23,0,5,3,7.72E-06,6.65E-06,0.209948558,3.70E-07,8,25,23,0.213463639,0.96,2.57E-06,0.069982853,2.22E-06,1.23E-07,3,0.011921533
147,YBL093C,24,0,5,3,8.02E-06,7.41E-06,0.209958201,3.57E-07,8,25,24,0.221941178,1,2.67E-06,0.069986067,2.47E-06,1.19E-07,3,0.013608727
