,protein,degree,inviable,icp55_shell,pim1_shell,betweenness,eigenvector,closeness,bridging,cluster_id,cluster_size,cluster_degree,cluster_eigenvector,cluster_closeness
3614,YBR281C,2,0,5,5,0.0,3.426614841943409e-09,0.17933226097532268,0.0,353,3,2,0.5773502691896258,1.0
3615,YEL070W,9,0,4,4,7.606054529293892e-05,1.1334263642973976e-07,0.2105675327068362,9.269415654627444e-06,354,3,2,0.5773502691896258,1.0
3616,YDL246C,3,0,4,4,8.511395918875619e-07,3.326395903481678e-08,0.2002453235203925,6.901131826115366e-07,354,3,2,0.5773502691896258,1.0
3617,YJR159W,4,0,4,4,3.0972222508116505e-06,7.218617300563793e-08,0.20231930243880847,1.2786697365736173e-06,354,3,2,0.5773502691896258,1.0
3618,YDR309C,7,0,5,5,9.466011874978186e-05,2.045264592318918e-07,0.2224330900243309,2.0988124147337392e-05,355,3,1,0.5000000644180599,0.6666666666666666
3619,YPL161C,3,0,5,5,9.45563319759335e-08,9.220417508612232e-08,0.219875895906489,8.869605679484548e-08,355,3,2,0.707106690085642,1.0
3620,YHR061C,5,0,5,5,0.00012010400210261787,1.6643175207118678e-07,0.22561697926949653,4.8645990418979935e-05,355,3,1,0.5000000644180599,0.6666666666666666
3621,YLR120C,3,0,5,4,1.9770281073053357e-05,2.0787840185184746e-07,0.2094483137829912,1.2309797649259636e-05,356,3,2,0.5773502691896258,1.0
3622,YDR144C,3,0,5,4,1.9770281073053357e-05,2.0787840185184746e-07,0.2094483137829912,1.2309797649259638e-05,356,3,2,0.5773502691896258,1.0
3623,YGR014W,9,0,5,4,0.00048305754340778563,1.156849767028689e-06,0.23544864530751006,3.87145246832545e-05,356,3,2,0.5773502691896258,1.0
3624,YLR423C,10,0,2,4,8.713539469788066e-06,3.405193384357874e-07,0.21838421480101286,1.4917327795515055e-06,357,3,2,0.5773502691896258,1.0
3625,YPL166W,11,0,2,4,1.3600586756013941e-05,3.4662839938429217e-07,0.2157862436859746,1.7402051458738064e-06,357,3,2,0.5773502691896258,1.0
3626,YDR022C,9,0,3,4,8.314072150428974e-06,4.682153663888232e-07,0.22196863011703005,1.989713804708986e-06,357,3,2,0.5773502691896258,1.0
3627,YLR181C,5,0,4,5,0.0,3.4716538327376257e-07,0.1833901705115346,0.0,358,3,1,0.5000000644180599,0.6666666666666666
3628,YLR099W-A,3,0,5,4,6.962974150835356e-05,9.783006055722845e-08,0.19061718098415345,7.582715305621747e-05,358,3,1,0.5000000644180599,0.6666666666666666
3629,YNL265C,13,0,4,5,0.00011865529215006512,1.7475620600809063e-06,0.20516157989228007,7.830737574816893e-06,358,3,2,0.707106690085642,1.0
3630,YMR251W-A,3,0,4,5,0.0,4.881720015503106e-08,0.19934583515045792,0.0,359,3,1,0.5000000644180599,0.6666666666666666
3631,YBR054W,1,0,5,5,0.0,8.149005447762385e-10,0.1735778841041999,0.0,359,3,1,0.5000000644180599,0.6666666666666666
3632,YNL160W,6,0,4,4,0.0004453336298007526,1.3340046407780377e-07,0.21002573056423451,4.743877046027995e-05,359,3,2,0.707106690085642,1.0
3633,YLR215C,3,0,5,5,7.276871398529984e-05,0.00011989414769232063,0.22254138266796494,3.17454912009603e-05,360,3,2,0.707106690085642,1.0
3634,YHR115C,4,0,5,4,7.58062866555888e-05,8.832466442469897e-06,0.2247627477012342,4.334564332965989e-05,360,3,1,0.5000000644180599,0.6666666666666666
