,cluster,size,icp55_shorpl,pim1_shorpl,avg_clust_coeff,avg_deg,avg_inner_deg,avg_outer_deg
525,525,1,5,4,0.0,7.0,0.0,7.0
526,526,1,5,5,0.0,4.0,0.0,4.0
527,527,1,5,5,0.0,4.0,0.0,4.0
528,528,4,5,5,0.0,2.5,0.0,2.5
529,529,1,6,5,0.0,5.0,0.0,5.0
530,530,1,6,5,0.0,2.0,0.0,2.0
531,531,1,5,5,0.0,2.0,0.0,2.0
532,532,1,5,4,0.0,3.0,0.0,3.0
533,533,3,4,4,1.0,2.3333333333333335,2.0,0.3333333333333333
534,534,1,5,5,0.0,4.0,0.0,4.0
535,535,2,6,5,0.0,1.5,0.0,1.5
536,536,1,7,6,0.0,2.0,0.0,2.0
537,537,1,7,7,0.0,2.0,0.0,2.0
538,538,1,5,5,0.0,3.0,0.0,3.0
539,539,1,6,5,0.0,2.0,0.0,2.0
540,540,3,5,5,0.0,1.6666666666666667,0.0,1.6666666666666667
541,541,1,6,4,0.0,3.0,0.0,3.0
542,542,21,7,7,0.9284521464088028,17.476190476190474,17.333333333333332,0.14285714285714285
543,543,1,6,6,0.0,4.0,0.0,4.0
544,544,1,7,6,0.0,2.0,0.0,2.0
545,545,1,6,6,0.0,5.0,0.0,5.0
546,546,2,6,5,0.0,2.5,0.0,2.5
547,547,1,6,6,0.0,3.0,0.0,3.0
548,548,1,4,5,0.0,2.0,0.0,2.0
549,549,2,4,5,0.0,1.5,0.0,1.5
550,550,2,6,6,0.0,1.5,0.0,1.5
551,551,1,7,7,0.0,2.0,0.0,2.0
552,552,2,6,6,0.0,2.5,0.0,2.5
553,553,1,5,4,0.0,2.0,0.0,2.0
554,554,4,11,9,1.0,3.5,3.0,0.5
555,555,1,5,4,0.0,2.0,0.0,2.0
556,556,1,6,6,0.0,3.0,0.0,3.0
557,557,3,8,6,0.0,4.333333333333333,0.6666666666666666,3.6666666666666665
558,558,1,9,7,0.0,4.0,0.0,4.0
559,559,3,5,6,0.0,2.0,0.0,2.0
560,560,3,4,5,0.0,2.3333333333333335,0.0,2.3333333333333335
561,561,3,7,6,0.0,2.6666666666666665,0.6666666666666666,2.0
562,562,1,4,5,0.0,4.0,0.0,4.0
563,563,6,9,7,0.0,3.5,0.3333333333333333,3.1666666666666665
564,564,1,9,7,0.0,7.0,0.0,7.0
565,565,5,10,8,0.0,3.8,0.8,3.0
566,566,2,10,8,0.0,3.5,1.0,2.5
567,567,1,9,7,0.0,3.0,0.0,3.0
568,568,3,10,8,0.0,2.3333333333333335,0.0,2.3333333333333335
569,569,2,11,9,0.0,3.0,0.0,3.0
