,protein,deg,closeness,betweeness,eigenvector,bridging,clustering_coefficient,cluster,cluster_size
1893,4932.YLR081W,6,0.2307801017524025,9.353134448627093e-05,2.111819758390758e-07,2.4880138373433648e-05,0.7333333333333333,84,7
1894,4932.YLL018C,14,0.24917982757305257,0.0009589585386468481,2.0872461737698856e-05,9.478753348692433e-05,0.6373626373626373,148,41
1895,4932.YER068W,16,0.26796849360026254,0.000501167441453703,0.0003751865799501716,3.3625801967155e-05,0.475,309,16
1896,4932.YOL004W,28,0.26874022875010284,0.00040746159246490073,5.367980964650505e-06,9.027620966084917e-06,0.4523809523809524,100,28
1897,4932.YDR252W,32,0.2839012517385257,0.001594222456828761,0.009079113639522211,5.117264186491544e-05,0.5221774193548387,309,16
1898,4932.YNL163C,7,0.274430720107554,8.111073963500617e-07,0.0022202742912673353,8.628820020864105e-07,0.9047619047619048,13,207
1899,4932.YHR067W,5,0.2109682837026032,7.413463353325581e-05,2.817764715402012e-08,2.5819977906041603e-05,0.5,164,10
1900,4932.YBL047C,28,0.2887454690124657,0.004362809560144166,0.00013173754101537732,4.964413329062632e-05,0.3439153439153439,313,2
1901,4932.YFR024C-A,3,0.23163120567375886,0.00028143130308034333,6.130917789239333e-08,0.0003262971629917024,0.0,9,110
1902,4932.YGR136W,5,0.2451031894934334,0.00012483542547507383,8.085873972321198e-06,5.766344688660615e-05,0.6,9,110
1903,4932.YJL020C,12,0.23664951815085863,5.329222396989676e-05,1.145865661940856e-06,4.487019910472014e-06,0.5757575757575758,9,110
1904,4932.YJL100W,11,0.24755552186765709,0.00023053923667822797,3.2593041730881567e-06,3.294490606087026e-05,0.7090909090909091,59,19
1905,4932.YKL013C,9,0.22693162868260144,2.438622191539375e-06,3.392297324156412e-07,4.5279457137335865e-07,0.8611111111111112,9,110
1906,4932.YKR055W,3,0.22250987873007222,2.080136590308475e-07,7.939454349096022e-08,5.627422659771719e-07,0.6666666666666666,238,46
1907,4932.YPR154W,4,0.2223281143635126,0.0,1.0565660321120616e-07,0.0,1.0,9,110
1908,4932.YKR066C,2,0.21091378753632548,2.9356483062928638e-06,3.8217712648229543e-07,8.6112350317924e-06,0.0,185,10
1909,4932.YJL019W,3,0.24400448262980948,6.682192662490994e-05,8.282785490131285e-07,0.00016595774015500022,0.0,316,3
1910,4932.YDL168W,9,0.22875954332142606,5.660576806712067e-05,1.0956572261814885e-06,1.0246476307442662e-05,0.3055555555555556,317,7
1911,4932.YDR441C,18,0.26449627470035636,0.00022540375863636312,0.00012784999753623222,1.3544610320185918e-05,0.46405228758169936,207,23
1912,4932.YER043C,20,0.23356933419151826,0.0017280702714661494,1.4430681925939984e-06,3.4258880895370424e-05,0.3736842105263158,119,17
1913,4932.YGL256W,20,0.2586725803896721,0.0024551958677334566,8.42541148265729e-06,5.717949769396388e-05,0.24210526315789474,317,7
1914,4932.YHR113W,12,0.2491608178211779,0.0018246006440220416,7.272944103625319e-06,0.00014227837638047542,0.25757575757575757,318,2
1915,4932.YLR209C,21,0.26347208777024844,0.0015833034521303337,5.4936971554042774e-05,3.1594051794002216e-05,0.22857142857142856,17,7
1916,4932.YML022W,18,0.26449627470035636,0.00022540375863636312,0.00012784999753623222,1.3544610320185916e-05,0.46405228758169936,207,23
1917,4932.YOR360C,15,0.28128498837309446,0.001093408735999143,0.00024020023626462734,7.749733055650358e-05,0.2761904761904762,233,18
1918,4932.YDR430C,5,0.2544406357120598,0.00047319453941718445,3.872332869287705e-06,0.0001397981601623711,0.3,319,2
1919,4932.YER019W,10,0.2738324809256309,0.0032960663090451227,4.436805289446124e-06,0.0004570087306173174,0.17777777777777778,57,15
1920,4932.YDR004W,29,0.26565804457458925,8.094618875223623e-05,9.137856130466107e-06,3.156156555274256e-06,0.5492610837438424,47,66
1921,4932.YBL088C,49,0.29492504966588406,0.004920332460932137,1.4251840231517534e-05,3.4950943625799876e-05,0.26360544217687076,47,66
1922,4932.YBR073W,15,0.25247371675943103,5.3903392614013216e-06,3.8563876865321625e-06,9.686300928559815e-07,0.8285714285714286,47,66
