,cid,orf,betweeness_centrality,degree_centrality,eigenvector_centrality
2474,58,4932.YOR099W,0.0723039215686274,0.4705882352941176,0.27412645318843226
2475,58,4932.YPL050C,0.0014705882352941,0.2941176470588235,0.12484597281915333
2476,58,4932.YJR143C,0.0021008403361344,0.3529411764705882,0.24706279086546196
2477,58,4932.YBR205W,0.1384803921568627,0.4705882352941176,0.26881179185264326
2478,58,4932.YML115C,0.0155812324929971,0.2941176470588235,0.15125964058417163
2479,58,4932.YDR483W,0.089110644257703,0.5294117647058824,0.30522461396851397
2480,58,4932.YDR245W,0.0632703081232493,0.4705882352941176,0.24517976326617497
2481,58,4932.YGR199W,0.0021008403361344,0.1764705882352941,0.11095826218870343
2482,58,4932.YGL257C,0.0,0.0,6.576473758212719e-22
2483,59,4932.YPL252C,0.0076557239057239,0.875,0.2659068827693888
2484,59,4932.YER048W-A,0.0076557239057239,0.875,0.2659068827693888
2485,59,4932.YLR369W,0.0006944444444444,0.625,0.19911614680073178
2486,59,4932.YPR067W,0.0415446127946127,1.0,0.2826699101235989
2487,59,4932.YDL120W,0.0050462962962962,0.8125,0.24929979513383344
2488,59,4932.YKL040C,0.0415446127946127,1.0,0.2826699101235989
2489,59,4932.YAL046C,0.0013888888888888,0.4375,0.12884575615077237
2490,59,4932.YMR301C,0.0,0.625,0.20112105446608364
2491,59,4932.YCL017C,0.0076557239057239,0.875,0.2659068827693888
2492,59,4932.YJR122W,0.0249242424242424,0.875,0.2546473615548916
2493,59,4932.YPL135W,0.0060353535353535,0.8125,0.24949839681275932
2494,59,4932.YOR226C,0.0033501683501683,0.75,0.23435680465713146
2495,59,4932.YLL027W,0.0162205387205387,0.875,0.2609870052563074
2496,59,4932.YOR196C,0.0204166666666666,0.8125,0.23719266549367857
2497,59,4932.YPL059W,0.0415446127946127,1.0,0.2826699101235989
2498,59,4932.YAL044W-A,0.0,0.375,0.1105727416351006
2499,59,4932.YGL018C,0.0076557239057239,0.875,0.2659068827693888
2500,60,4932.YPL020C,0.1337499999999999,0.625,0.29572220293781404
2501,60,4932.YMR219W,0.0,0.0625,0.03287657068225515
2502,60,4932.YER038C,0.0,0.3125,0.11088704004589071
2503,60,4932.YOR156C,0.1337499999999999,0.625,0.29572220293781404
2504,60,4932.YDR510W,0.1066666666666666,0.75,0.34598842745518305
2505,60,4932.YPR180W,0.0,0.5,0.27550031260590396
2506,60,4932.YEL019C,0.21875,0.8125,0.35124486217485473
2507,60,4932.YDR288W,0.0104166666666666,0.4375,0.17842596636005398
2508,60,4932.YDL064W,0.0666666666666666,0.6875,0.3290558570208971
2509,60,4932.YDL013W,0.0,0.3125,0.16923989786551533
2510,60,4932.YML023C,0.0,0.3125,0.1108870400458907
2511,60,4932.YDR390C,0.0,0.5,0.27550031260590396
2512,60,4932.YLL035W,0.0,0.0625,0.03287657068225514
2513,60,4932.YDL105W,0.0104166666666666,0.4375,0.17842596636005398
2514,60,4932.YIL031W,0.00875,0.5625,0.2924328830401899
2515,60,4932.YDR409W,0.00875,0.5625,0.2924328830401899
2516,60,4932.YLR007W,0.0104166666666666,0.4375,0.17842596636005398
2517,61,4932.YER183C,0.008095238095238,0.375,0.17076410940039893
2518,61,4932.YPL113C,0.0,0.0,1.4174169036959022e-09
2519,61,4932.YGR204W,0.0218686868686868,0.6875,0.2986801763844828
2520,61,4932.YPL023C,0.0124639249639249,0.625,0.2860033268769148
2521,61,4932.YOR280C,0.0,0.0,1.4174169036959022e-09
2522,61,4932.YLR058C,0.0476785714285714,0.75,0.31159925393639104
2523,61,4932.YDR019C,0.0367694805194805,0.75,0.3229887005231715
2524,61,4932.YKR080W,0.0332972582972582,0.75,0.3223441585345539
2525,61,4932.YJL046W,0.0,0.0625,0.022972723517724482
2526,61,4932.YMR189W,0.0007575757575757,0.4375,0.2082212064792901
2527,61,4932.YBL013W,0.0007575757575757,0.375,0.17775435457860103
2528,61,4932.YBR084W,0.0218686868686868,0.6875,0.2986801763844828
2529,61,4932.YDR408C,0.0072853535353535,0.5,0.22323647354173606
2530,61,4932.YGL125W,0.0124639249639249,0.625,0.2860033268769148
2531,61,4932.YAL044C,0.1182575757575757,0.5625,0.22609080391863823
2532,61,4932.YOR074C,0.0007575757575757,0.5,0.2459442208912329
2533,61,4932.YBR263W,0.0360119047619047,0.6875,0.29424820004484026
2534,62,4932.YGR155W,0.0131944444444444,0.625,0.28868576536014084
2535,62,4932.YLL058W,0.0041666666666666,0.625,0.2954770750467493
2536,62,4932.YLL061W,0.0,0.0,1.199000550280758e-11
2537,62,4932.YJR130C,0.0354166666666666,0.6875,0.2989481495065974
2538,62,4932.YFR055W,0.0020833333333333,0.5,0.24131960916076498
2539,62,4932.YDR502C,0.0,0.1875,0.07473079593132484
2540,62,4932.YGR012W,0.0020833333333333,0.5,0.23976372140860097
2541,62,4932.YLR303W,0.0041666666666666,0.625,0.2954770750467493
2542,62,4932.YNL275W,0.0,0.0625,0.03198843960359982
2543,62,4932.YER043C,0.1847222222222222,0.8125,0.315016093610103
2544,62,4932.YGL184C,0.0131944444444444,0.625,0.2885423106395523
2545,62,4932.YLR180W,0.0027777777777777,0.25,0.10523419757656718
2546,62,4932.YHR025W,0.0,0.25,0.11287973791496445
2547,62,4932.YAL012W,0.0763888888888888,0.8125,0.3308950692558617
2548,62,4932.YER091C,0.1118055555555555,0.8125,0.31568177746865833
2549,62,4932.YML082W,0.0041666666666666,0.625,0.2954770750467493
2550,62,4932.YJR139C,0.0041666666666666,0.375,0.16609115519776024
2551,63,4932.YDR353W,0.0391391941391941,0.5625,0.2934839549172302
2552,63,4932.YBR216C,0.0,0.0,6.382863226855321e-11
2553,63,4932.YHR106W,0.0254265873015873,0.5625,0.3050790665529664
2554,63,4932.YDR453C,0.0256669719169719,0.4375,0.2211130967716241
2555,63,4932.YBL064C,0.052002442002442,0.5625,0.28012788069892797
2556,63,4932.YLR043C,0.0162385531135531,0.5,0.28771761334305773
2557,63,4932.YCR083W,0.0013888888888888,0.25,0.14901010397054107
2558,63,4932.YLR109W,0.0297107753357753,0.5625,0.28912850102611193
2559,63,4932.YGR209C,0.0607089438339438,0.6875,0.3550908327496583
2560,63,4932.YKL026C,0.0052876984126984,0.3125,0.17681355778786698
2561,63,4932.YIL010W,0.0036210317460317,0.25,0.13532720468734527
2562,63,4932.YPL091W,0.0790163308913309,0.6875,0.3390295833958169
2563,63,4932.YBR244W,0.0023076923076923,0.25,0.14481352420462934
2564,63,4932.YJL101C,0.0041666666666666,0.3125,0.17377889280586567
2565,63,4932.YDL072C,0.0,0.0,6.382863226855321e-11
2566,63,4932.YML028W,0.0643956043956043,0.625,0.3155272811330495
2567,63,4932.YKL086W,0.0075892857142857,0.4375,0.25202381642746713
2568,64,4932.YCL029C,0.0137698412698412,0.5625,0.3015620043386479
2569,64,4932.YBL063W,0.0051587301587301,0.5,0.2803498373109851
2570,64,4932.YPR141C,0.0038194444444444,0.5,0.28333392024254167
2571,64,4932.YEL061C,0.0238392857142857,0.625,0.32641236750703695
2572,64,4932.YPL269W,0.0269444444444444,0.375,0.1865653262614655
2573,64,4932.YER016W,0.0403670634920634,0.6875,0.3454589286520849
2574,64,4932.YKR054C,0.1718948412698412,0.6875,0.31067879723985287
2575,64,4932.YLR045C,0.1487003968253968,0.75,0.3495158652561062
2576,64,4932.YMR299C,0.0,0.125,0.042298515489419874
2577,64,4932.YOR058C,0.0138392857142857,0.5625,0.29469509845647407
2578,64,4932.YPL155C,0.0103472222222222,0.5,0.27233189439252764
2579,64,4932.YPR083W,0.0,0.0,3.559348481462812e-12
2580,64,4932.YLR254C,0.0,0.0,3.559348481462812e-12
2581,64,4932.YER184C,0.0,0.0625,0.03973893930451274
2582,64,4932.YDR488C,0.0041666666666666,0.1875,0.06134507663446778
2583,64,4932.YGL216W,0.0038194444444444,0.5,0.28333392024254167
2584,64,4932.YBL034C,0.0,0.25,0.1496345431848539
2585,65,4932.YEL020C,0.128344671201814,0.6,0.295216230767718
2586,65,4932.YAR035W,0.0,0.1333333333333333,0.0464700633028066
2587,65,4932.YMR020W,0.0031746031746031,0.4666666666666667,0.25916359115884763
2588,65,4932.YLR151C,0.0119954648526077,0.6,0.3186173308592326
2589,65,4932.YIL043C,0.0,0.0,4.770151620012891e-11
2590,65,4932.YBR041W,0.0038095238095238,0.4666666666666667,0.25704010493030677
2591,65,4932.YGL205W,0.0404081632653061,0.6666666666666666,0.33182495557184316
2592,65,4932.YER015W,0.0,0.3333333333333333,0.19110446635755565
2593,65,4932.YER024W,0.0,0.1333333333333333,0.0464700633028066
2594,65,4932.YNL202W,0.0554875283446712,0.7333333333333333,0.35516224820722775
2595,65,4932.YLR284C,0.0,0.2666666666666666,0.1560694723871105
2596,65,4932.YBR222C,0.0,0.0666666666666666,0.034731727955887616
2597,65,4932.YML042W,0.256281179138322,0.8,0.34851733884814784
2598,65,4932.YKR009C,0.0404081632653061,0.6666666666666666,0.3318249555718431
2599,65,4932.YLR389C,0.001360544217687,0.4,0.22170169196654163
2600,65,4932.YJR019C,0.0301587301587301,0.6,0.3077651161928976
2601,66,4932.YOR301W,0.1365079365079365,0.2666666666666666,0.4108029366429347
2602,66,4932.YDR389W,0.0,0.0,6.936971179845773e-26
2603,66,4932.YLR310C,0.0,0.0,6.936971179845773e-26
2604,66,4932.YJL201W,0.0,0.0,6.936971179845773e-26
2605,66,4932.YIL140W,0.0333333333333333,0.2,0.28135887318964414
2606,66,4932.YLR353W,0.0761904761904762,0.2,0.38510817492347416
2607,66,4932.YMR232W,0.0,0.0,6.936971179845773e-26
2608,66,4932.YJR092W,0.0,0.1333333333333333,0.17901724033108202
2609,66,4932.YOR134W,0.0,0.0,6.936971179845773e-26
2610,66,4932.YLR084C,0.0031746031746031,0.2,0.3757110543372666
2611,66,4932.YGR041W,0.0761904761904762,0.2,0.38510817492347416
2612,66,4932.YCR038C,0.1746031746031746,0.2666666666666666,0.4240421143775808
2613,66,4932.YOR107W,0.0,0.0666666666666666,0.04625538666847211
2614,66,4932.YML104C,0.0761904761904762,0.1333333333333333,0.1454010287653912
2615,66,4932.YCL014W,0.0333333333333333,0.2,0.28135887318964414
2616,66,4932.YDL135C,0.0,0.0,6.936971179845773e-26
2617,67,4932.YER068W,0.0,0.6,0.2835632479388957
2618,67,4932.YPR072W,0.0047619047619047,0.6666666666666666,0.30746037125857417
2619,67,4932.YDR151C,0.0,0.0666666666666666,0.031885594939611316
2620,67,4932.YGR134W,0.0047619047619047,0.6666666666666666,0.30746037125857417
2621,67,4932.YAL021C,0.0714285714285714,0.7333333333333333,0.31322526257980676
2622,67,4932.YGL178W,0.0,0.1333333333333333,0.06189045918815779
2623,67,4932.YFL028C,0.1285714285714286,0.7333333333333333,0.31043047182427225
2624,67,4932.YNR052C,0.0476190476190476,0.6666666666666666,0.28932813926012824
2625,67,4932.YDR252W,0.1238095238095238,0.6,0.2565526400097894
2626,67,4932.YNL288W,0.0047619047619047,0.6666666666666666,0.30746037125857417
2627,67,4932.YML118W,0.0,0.0,1.761907639834412e-08
2628,67,4932.YIL137C,0.0,0.0666666666666666,0.02635191875795419
2629,67,4932.YCR093W,0.1285714285714286,0.7333333333333333,0.3104304718242722
2630,67,4932.YDR061W,0.0,0.0666666666666666,0.031885594939611316
2631,67,4932.YIL038C,0.0047619047619047,0.6666666666666666,0.30746037125857417
2632,67,4932.YDL165W,0.0047619047619047,0.6666666666666666,0.30746037125857417
