,cluster,protein,degree,degree_centrality,eigenvector_centrality,betweenness_centrality
393,51,YOR141C,13,0.178,0.120,0.001
394,51,YBR231C,16,0.219,0.168,0.000
395,51,YNL243W,17,0.233,0.062,0.040
396,51,YLR385C,16,0.219,0.168,0.000
397,51,YLR399C,17,0.233,0.175,0.000
398,51,YLR085C,17,0.233,0.172,0.001
399,51,YPR023C,16,0.219,0.131,0.001
400,51,YEL044W,13,0.178,0.123,0.001
401,51,YML041C,17,0.233,0.175,0.000
402,51,YIL062C,14,0.192,0.056,0.007
403,51,YJR082C,14,0.192,0.112,0.000
404,51,YOR244W,15,0.205,0.122,0.001
405,51,YFL024C,15,0.205,0.122,0.001
406,51,YAL011W,14,0.192,0.149,0.000
407,51,YJR065C,17,0.233,0.065,0.010
408,51,YHR090C,14,0.192,0.112,0.000
409,52,YNL138W-A,55,0.591,0.122,0.005
410,52,YGR129W,55,0.591,0.118,0.007
411,52,YDR473C,48,0.516,0.104,0.005
412,52,YDR243C,48,0.516,0.095,0.011
413,52,YPL151C,51,0.548,0.114,0.003
414,52,YER146W,41,0.441,0.092,0.002
415,52,YBR065C,50,0.538,0.112,0.003
416,52,YGL174W,47,0.505,0.107,0.003
417,52,YGR278W,46,0.495,0.106,0.001
418,52,YPR101W,42,0.452,0.090,0.005
419,52,YAL032C,54,0.581,0.119,0.005
420,52,YBL026W,41,0.441,0.093,0.001
421,52,YDL209C,52,0.559,0.112,0.010
422,52,YGR006W,49,0.527,0.101,0.006
423,52,YNR011C,46,0.495,0.105,0.007
424,52,YGR091W,41,0.441,0.091,0.002
425,52,YDR364C,55,0.591,0.119,0.027
426,52,YDR482C,45,0.484,0.104,0.001
427,52,YBR055C,43,0.462,0.093,0.003
428,52,YLL036C,58,0.624,0.123,0.014
429,52,YIR005W,47,0.505,0.109,0.003
430,52,YCR063W,50,0.538,0.114,0.002
431,52,YDR163W,49,0.527,0.109,0.003
432,53,YOR184W,1,1.000,0.707,0.000
433,53,YGR208W,1,1.000,0.707,0.000
434,54,YMR125W,1,0.500,0.500,0.000
435,54,YPR057W,1,0.500,0.500,0.000
436,55,YPL024W,17,0.298,0.134,0.005
437,55,YLR234W,20,0.351,0.153,0.006
438,55,YER173W,18,0.316,0.138,0.005
439,55,YMR167W,18,0.316,0.116,0.030
440,55,YJR043C,15,0.263,0.122,0.003
441,55,YBR228W,16,0.281,0.121,0.004
442,55,YML095C,15,0.263,0.104,0.015
443,55,YHR154W,17,0.298,0.127,0.006
444,55,YPL167C,20,0.351,0.143,0.014
445,55,YDL059C,17,0.298,0.142,0.003
446,55,YBL088C,19,0.333,0.138,0.010
447,55,YCR066W,15,0.263,0.099,0.011
448,55,YLR032W,16,0.281,0.110,0.010
449,55,YBR274W,16,0.281,0.133,0.003
450,55,YMR224C,15,0.263,0.125,0.005
451,56,YMR061W,1,1.000,0.707,0.000
452,56,YBL051C,1,1.000,0.707,0.000
453,57,YDR370C,1,0.500,0.500,0.000
454,57,YGL246C,1,0.500,0.500,0.000
455,58,YJL168C,0,1.000,1.000,0.000
456,59,YDR300C,5,0.833,0.378,0.000
457,59,YER023W,5,0.833,0.378,0.000
458,59,YLR438W,6,1.000,0.415,0.067
459,59,YOR323C,6,1.000,0.415,0.067
460,59,YHR037W,6,1.000,0.415,0.067
461,59,YLR142W,5,0.833,0.378,0.000
462,60,YKL020C,1,0.056,0.116,0.000
463,60,YBL101C,2,0.111,0.195,0.000
464,60,YIR033W,1,0.056,0.116,0.000
465,60,YGR068C,1,0.056,0.116,0.000
466,60,YFR022W,2,0.111,0.195,0.000
467,60,YKR021W,3,0.167,0.242,0.000
468,60,YBR021W,1,0.056,0.116,0.000
469,60,YGR055W,1,0.056,0.079,0.000
470,60,YOR138C,1,0.056,0.116,0.000
471,60,YMR275C,3,0.167,0.249,0.000
472,60,YMR171C,1,0.056,0.116,0.000
473,60,YML111W,2,0.111,0.170,0.000
474,60,YOR018W,3,0.167,0.242,0.000
475,60,YPR030W,1,0.056,0.116,0.000
476,60,YPL176C,1,0.056,0.116,0.000
477,60,YLR392C,1,0.056,0.116,0.000
478,61,YDL074C,2,0.667,0.523,0.000
479,61,YPL055C,2,0.667,0.523,0.000
480,62,YJR099W,3,0.429,0.404,0.000
481,62,YER151C,3,0.429,0.315,0.286
