,cluster,protein,degree,eigenvector_centrality,betweenness_centrality,degree_centrality
1343,388,YPL243W,7,0.384,0.031,1.000
1344,388,YPR088C,7,0.384,0.031,1.000
1345,389,YER121W,6,0.407,0.060,0.750
1346,389,YMR245W,6,0.407,0.060,0.750
1347,389,YJL199C,6,0.407,0.060,0.750
1348,390,YAR008W,5,0.461,0.150,1.000
1349,390,YJL087C,5,0.461,0.150,1.000
1350,391,YBL047C,2,0.707,1.000,1.000
1351,392,YOR042W,2,0.707,1.000,1.000
1352,393,YPL184C,1,0.707,0.000,1.000
1353,393,YPR042C,1,0.707,0.000,1.000
1354,394,YNL197C,1,0.707,0.000,1.000
1355,394,YDL224C,1,0.707,0.000,1.000
1356,395,YOL104C,2,0.577,0.000,1.000
1357,395,YJL019W,2,0.577,0.000,1.000
1358,395,YPL200W,2,0.577,0.000,1.000
1359,396,YOR387C,2,0.431,0.000,0.400
1360,396,YGL256W,5,0.653,0.900,1.000
1361,396,YGL258W,2,0.431,0.000,0.400
1362,397,YHR113W,0,1.000,0.000,1.000
1363,398,YLR209C,0,1.000,0.000,1.000
1364,399,YJL164C,7,0.494,0.476,1.000
1365,399,YPL203W,5,0.437,0.048,0.714
1366,400,YDR430C,0,1.000,0.000,1.000
1367,401,YOL086W-A,3,0.557,0.167,1.000
1368,401,YIR002C,3,0.557,0.167,1.000
1369,402,YDR457W,1,0.707,0.000,1.000
1370,402,YKL010C,1,0.707,0.000,1.000
1371,403,YER142C,1,0.707,0.000,1.000
1372,403,YDL200C,1,0.707,0.000,1.000
1373,404,YMR036C,2,0.707,1.000,1.000
1374,405,YHR207C,2,0.577,0.000,1.000
1375,405,YJL105W,2,0.577,0.000,1.000
1376,405,YPL165C,2,0.577,0.000,1.000
1377,406,YJR053W,2,0.577,0.000,1.000
1378,406,YMR055C,2,0.577,0.000,1.000
1379,406,YOR233W,2,0.577,0.000,1.000
1380,407,YAR014C,2,0.577,0.000,1.000
1381,407,YGR238C,2,0.577,0.000,1.000
1382,407,YHR158C,2,0.577,0.000,1.000
1383,408,YJL106W,2,0.707,1.000,1.000
1384,409,YMR009W,4,0.494,0.100,0.800
1385,409,YPR118W,5,0.529,0.500,1.000
1386,410,YJR159W,3,0.557,0.167,1.000
1387,410,YDL246C,3,0.557,0.167,1.000
1388,411,YGR144W,8,0.409,0.209,0.727
1389,411,YPL258C,7,0.399,0.027,0.636
1390,411,YPL214C,10,0.431,0.518,0.909
1391,411,YOL055C,7,0.399,0.027,0.636
1392,412,YDL052C,1,0.707,0.000,1.000
1393,412,YDR018C,1,0.707,0.000,1.000
1394,413,YMR165C,2,0.577,0.000,1.000
1395,413,YHR004C,2,0.577,0.000,1.000
1396,413,YAL009W,2,0.577,0.000,1.000
1397,414,YOR006C,1,0.707,0.000,1.000
1398,414,YIL025C,1,0.707,0.000,1.000
1399,415,YOL130W,2,0.425,0.150,0.400
1400,415,YFL050C,2,0.425,0.150,0.400
1401,415,YOR334W,4,0.602,0.750,0.800
1402,416,YDR082W,5,0.398,0.000,0.714
1403,416,YBR275C,5,0.398,0.000,0.714
1404,416,YLR453C,5,0.398,0.000,0.714
1405,416,YLR010C,5,0.398,0.000,0.714
1406,416,YNL216W,7,0.432,0.476,1.000
1407,416,YDL220C,5,0.398,0.000,0.714
1408,417,YDL235C,5,0.359,0.006,0.500
1409,417,YNR031C,5,0.359,0.006,0.500
1410,417,YCR073C,5,0.359,0.006,0.500
1411,417,YER118C,10,0.495,0.594,1.000
1412,418,YDR495C,12,0.297,0.010,0.800
1413,418,YLR148W,12,0.297,0.010,0.800
1414,418,YLR396C,13,0.303,0.054,0.867
1415,418,YAL002W,13,0.303,0.054,0.867
1416,418,YMR231W,12,0.297,0.010,0.800
1417,419,YGL008C,0,1.000,0.000,1.000
1418,420,YPR183W,3,0.612,0.667,1.000
1419,421,YKL205W,1,0.707,0.000,1.000
1420,421,YOR112W,1,0.707,0.000,1.000
1421,422,YNR019W,3,0.557,0.167,1.000
1422,422,YCR048W,3,0.557,0.167,1.000
1423,423,YLR242C,1,0.707,0.000,1.000
1424,423,YJL062W,1,0.707,0.000,1.000
1425,424,YAL063C,1,0.316,0.000,0.200
1426,424,YOR140W,1,0.316,0.000,0.200
1427,424,YIR019C,5,0.707,1.000,1.000
1428,424,YAR050W,1,0.316,0.000,0.200
1429,424,YKR102W,1,0.316,0.000,0.200
1430,424,YHR211W,1,0.316,0.000,0.200
1431,425,YBR164C,0,1.000,0.000,1.000
1432,426,YJR031C,2,0.707,1.000,1.000
1433,427,YLR062C,1,0.707,0.000,1.000
1434,427,YGL217C,1,0.707,0.000,1.000
1435,428,YMR218C,12,0.298,0.018,0.857
1436,428,YKR068C,12,0.298,0.018,0.857
1437,428,YDR407C,12,0.298,0.018,0.857
1438,428,YOR115C,12,0.298,0.018,0.857
1439,429,YPR029C,11,0.402,0.466,0.917
1440,429,YBR288C,8,0.380,0.043,0.667
1441,429,YJR005W,7,0.346,0.031,0.583
1442,429,YGR261C,7,0.342,0.028,0.583
1443,430,YAL065C,3,0.612,0.667,1.000
1444,431,YGL227W,6,0.376,0.000,0.857
1445,431,YDR255C,6,0.376,0.000,0.857
1446,431,YIL097W,6,0.376,0.000,0.857
1447,431,YBR105C,6,0.376,0.000,0.857
1448,431,YMR135C,6,0.376,0.000,0.857
1449,431,YCL039W,7,0.385,0.286,1.000
1450,431,YIL017C,6,0.376,0.000,0.857
1451,432,YBR004C,14,0.272,0.141,0.636
1452,432,YJR013W,15,0.304,0.095,0.682
1453,432,YGL142C,15,0.301,0.085,0.682
1454,432,YPL175W,14,0.282,0.079,0.636
1455,432,YMR281W,14,0.296,0.064,0.636
1456,432,YLR088W,14,0.288,0.070,0.636
1457,433,YMR206W,1,0.707,0.000,1.000
1458,433,YMR081C,1,0.707,0.000,1.000
1459,434,YJL153C,3,0.500,0.000,1.000
1460,434,YOL108C,3,0.500,0.000,1.000
1461,434,YDR123C,3,0.500,0.000,1.000
1462,434,YHL020C,3,0.500,0.000,1.000
1463,435,YOR281C,1,0.707,0.000,1.000
1464,435,YDR183W,1,0.707,0.000,1.000
1465,436,YGR078C,6,0.411,0.048,0.857
1466,436,YML094W,6,0.411,0.048,0.857
1467,436,YLR200W,7,0.424,0.333,1.000
1468,437,YMR052W,5,0.423,0.017,0.833
1469,437,YNL127W,5,0.423,0.017,0.833
1470,437,YFR008W,5,0.423,0.017,0.833
1471,437,YMR029C,6,0.440,0.350,1.000
