,cluster,protein,degree,eigenvector_centrality,betweenness_centrality,degree_centrality
55,9,YOL148C,14,0.252,0.000,0.875
56,9,YPL047W,14,0.252,0.000,0.875
57,9,YDR392W,14,0.252,0.000,0.875
58,9,YLR055C,14,0.252,0.000,0.875
59,9,YBR111W-A,14,0.252,0.000,0.875
60,9,YBR081C,14,0.252,0.000,0.875
61,9,YGL066W,14,0.252,0.000,0.875
62,9,YER164W,14,0.252,0.000,0.875
63,9,YPL254W,15,0.260,0.013,0.938
64,9,YHR099W,15,0.260,0.013,0.938
65,9,YDR448W,15,0.260,0.013,0.938
66,10,YJR090C,4,0.151,0.000,0.143
67,10,YJL047C,9,0.252,0.051,0.321
68,10,YLR128W,7,0.217,0.007,0.250
69,10,YML088W,3,0.082,0.071,0.107
70,10,YOL025W,3,0.098,0.000,0.107
71,10,YPL046C,4,0.128,0.019,0.143
72,10,YER066W,3,0.121,0.000,0.107
73,10,YPL003W,7,0.249,0.000,0.250
74,11,YLR384C,10,0.318,0.026,0.909
75,11,YIL008W,9,0.296,0.012,0.818
76,11,YGL211W,10,0.319,0.026,0.909
77,12,YDR168W,9,0.289,0.012,0.750
78,12,YOR027W,10,0.309,0.024,0.833
79,12,YNL281W,9,0.288,0.012,0.750
80,12,YKL117W,11,0.322,0.060,0.917
81,13,YOR064C,3,0.482,0.000,0.750
82,13,YPR031W,3,0.482,0.000,0.750
83,13,YLR455W,3,0.482,0.000,0.750
84,14,YML069W,3,0.557,0.167,1.000
85,14,YGL207W,3,0.557,0.167,1.000
86,15,YKL054C,1,0.500,0.000,0.500
87,15,YDR030C,1,0.500,0.000,0.500
88,16,YDR087C,126,0.082,0.003,0.627
89,16,YPR010C,121,0.082,0.005,0.602
90,16,YOL041C,121,0.079,0.002,0.602
91,16,YHR169W,128,0.085,0.002,0.637
92,16,YOR340C,111,0.079,0.001,0.552
93,16,YDR101C,120,0.076,0.005,0.597
94,16,YPL211W,139,0.088,0.007,0.692
95,16,YCL059C,137,0.090,0.003,0.682
96,16,YLR175W,126,0.084,0.003,0.627
97,16,YGR128C,110,0.074,0.001,0.547
98,16,YDR324C,135,0.090,0.003,0.672
99,16,YMR128W,119,0.080,0.002,0.592
100,16,YLR196W,126,0.085,0.003,0.627
101,16,YOR004W,135,0.088,0.003,0.672
102,16,YPL146C,113,0.075,0.002,0.562
103,16,YJL109C,127,0.084,0.003,0.632
104,16,YER127W,135,0.089,0.003,0.672
105,16,YHR066W,126,0.081,0.003,0.627
